T14,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
28,Antigua and Barbuda,2010,Balance of Payments: Financial account (millions of US dollars),-158,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
28,Antigua and Barbuda,2015,Balance of Payments: Financial account (millions of US dollars),93,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
28,Antigua and Barbuda,2018,Balance of Payments: Financial account (millions of US dollars),-120,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
32,Argentina,1985,Balance of Payments: Current account (millions of US dollars),-952,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
32,Argentina,1995,Balance of Payments: Current account (millions of US dollars),"-5,118",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
32,Argentina,2010,Balance of Payments: Current account (millions of US dollars),"-1,623",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
32,Argentina,2015,Balance of Payments: Current account (millions of US dollars),"-17,622",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
32,Argentina,2018,Balance of Payments: Current account (millions of US dollars),"-27,049",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
32,Argentina,2019,Balance of Payments: Current account (millions of US dollars),"-3,997",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
32,Argentina,2020,Balance of Payments: Current account (millions of US dollars),"2,985",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
32,Argentina,1995,Balance of Payments: Capital account (millions of US dollars),14,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
32,Argentina,2010,Balance of Payments: Capital account (millions of US dollars),78,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
32,Argentina,2015,Balance of Payments: Capital account (millions of US dollars),52,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed July 2021."
